id,cat,subcat,maintenance,dwh_create_date
AC_BR,Accessories,Bike Racks,Yes,2024-12-30 14:06:37.1800000
AC_BS,Accessories,Bike Stands,No,2024-12-30 14:06:37.1800000
AC_BC,Accessories,Bottles and Cages,No,2024-12-30 14:06:37.1800000
AC_CL,Accessories,Cleaners,Yes,2024-12-30 14:06:37.1800000
AC_FE,Accessories,Fenders,No,2024-12-30 14:06:37.1800000
AC_HE,Accessories,Helmets,Yes,2024-12-30 14:06:37.1800000
AC_HP,Accessories,Hydration Packs,No,2024-12-30 14:06:37.1800000
AC_LI,Accessories,Lights,Yes,2024-12-30 14:06:37.1800000
AC_LO,Accessories,Locks,Yes,2024-12-30 14:06:37.1800000
AC_PA,Accessories,Panniers,No,2024-12-30 14:06:37.1800000
AC_PU,Accessories,Pumps,Yes,2024-12-30 14:06:37.1800000
AC_TT,Accessories,Tires and Tubes,Yes,2024-12-30 14:06:37.1800000
BI_MB,Bikes,Mountain Bikes,Yes,2024-12-30 14:06:37.1800000
BI_RB,Bikes,Road Bikes,Yes,2024-12-30 14:06:37.1800000
BI_TB,Bikes,Touring Bikes,Yes,2024-12-30 14:06:37.1800000
CL_BS,Clothing,Bib-Shorts,No,2024-12-30 14:06:37.1800000
CL_CA,Clothing,Caps,No,2024-12-30 14:06:37.1800000
CL_GL,Clothing,Gloves,No,2024-12-30 14:06:37.1800000
CL_JE,Clothing,Jerseys,No,2024-12-30 14:06:37.1800000
CL_SH,Clothing,Shorts,No,2024-12-30 14:06:37.1800000
CL_SO,Clothing,Socks,No,2024-12-30 14:06:37.1800000
CL_TI,Clothing,Tights,No,2024-12-30 14:06:37.1800000
CL_VE,Clothing,Vests,No,2024-12-30 14:06:37.1800000
CO_BB,Components,Bottom Brackets,Yes,2024-12-30 14:06:37.1800000
CO_BR,Components,Brakes,Yes,2024-12-30 14:06:37.1800000
CO_CH,Components,Chains,Yes,2024-12-30 14:06:37.1800000
CO_CS,Components,Cranksets,Yes,2024-12-30 14:06:37.1800000
CO_DE,Components,Derailleurs,Yes,2024-12-30 14:06:37.1800000
CO_FO,Components,Forks,Yes,2024-12-30 14:06:37.1800000
CO_HB,Components,Handlebars,No,2024-12-30 14:06:37.1800000
CO_HS,Components,Headsets,No,2024-12-30 14:06:37.1800000
CO_MF,Components,Mountain Frames,Yes,2024-12-30 14:06:37.1800000
CO_PD,Components,Pedals,No,2024-12-30 14:06:37.1800000
CO_RF,Components,Road Frames,Yes,2024-12-30 14:06:37.1800000
CO_SA,Components,Saddles,No,2024-12-30 14:06:37.1800000
CO_TF,Components,Touring Frames,Yes,2024-12-30 14:06:37.1800000
CO_WH,Components,Wheels,Yes,2024-12-30 14:06:37.1800000
